date,obs_ma,p05,p25,p75,p95
2001-05-01,0.15563312368084817,-0.2956251641974803,-0.06999602025831606,0.38126226762001236,0.6068914115591766
2001-06-01,0.16084391943499105,-0.2904143684433374,-0.06478522450417318,0.38647306337415527,0.6121022073133195
2001-07-01,0.16651369660015095,-0.28474459127817753,-0.05911544733901328,0.39214284053931514,0.6177719844784794
2001-08-01,0.17263806582716007,-0.2786202220511684,-0.05299107811200415,0.3982672097663243,0.6238963537054885
2001-09-01,0.1792027094076833,-0.27205557847064515,-0.04642643453148093,0.4048318533468475,0.6304609972860118
2001-10-01,0.1861828806606937,-0.2650754072176348,-0.039446263278470534,0.4118120245998579,0.6374411685390221
2001-11-01,0.1935444373732278,-0.25771385050510065,-0.03208470656593643,0.419173581312392,0.6448027252515562
2001-12-01,0.20124616564427214,-0.25001212223405633,-0.024382978294892083,0.42687530958343634,0.6525044535226006
2002-01-01,0.20924181746140963,-0.24201647041691882,-0.016387326477754594,0.43487096140057385,0.6605001053397381
2002-02-01,0.21748518941313735,-0.2337730984651911,-0.00814395452602687,0.44311433335230155,0.6687434772914658
2002-03-01,0.22593162696975574,-0.2253266609085727,0.0003024830305915216,0.45156077090892,0.6771899148480842
2002-04-01,0.23453606767328497,-0.21672222020504348,0.008906923734120747,0.46016521161244917,0.6857943555516134
2002-05-01,0.2432544931188892,-0.20800379475943925,0.01762534917972497,0.4688836370580534,0.6945127809972176
2002-06-01,0.2520478622918174,-0.19921042558651103,0.026418718352653192,0.47767700623098164,0.7033061501701459
2002-07-01,0.2608838469779174,-0.19037444090041106,0.035254703038753166,0.4865129909170816,0.7121421348562458
2002-08-01,0.26973078134432005,-0.1815275065340084,0.044101637405155825,0.49535992528348427,0.7209890692226485
2002-09-01,0.2785545497955539,-0.17270373808277456,0.05292540585638966,0.5041836937347182,0.7298128376738824
2002-10-01,0.28732162492095287,-0.16393666295737558,0.061692480981788644,0.5129507688601171,0.7385799127992814
2002-11-01,0.2959977071902021,-0.15526058068812637,0.07036856325103785,0.5216268511293662,0.7472559950685305
2002-12-01,0.30455010015609685,-0.1467081877222316,0.07892095621693263,0.5301792440952611,0.7558083880344253
2003-01-01,0.31294914732510587,-0.13830914055322258,0.08732000338594165,0.53857829126427,0.7642074352034343
2003-02-01,0.32116700596905573,-0.13009128190927272,0.09553786202989151,0.5467961499082199,0.7724252938473841
